,QualityMeasure1,QualityMeasure10,QualityMeasure11,QualityMeasure12,QualityMeasure13,QualityMeasure14,QualityMeasure15,QualityMeasure15Chemo,QualityMeasure15RT,QualityMeasure15Surgery,QualityMeasure16,QualityMeasure17,QualityMeasure18,QualityMeasure19,QualityMeasure19_color,QualityMeasure2,QualityMeasure20,QualityMeasure21A,QualityMeasure21B,QualityMeasure22,QualityMeasure23,QualityMeasure24,QualityMeasure27,QualityMeasure3,QualityMeasure4,QualityMeasure5,QualityMeasure6,QualityMeasure7,QualityMeasure8A,QualityMeasure8B,QualityMeasure9,,,,
Fail,20.3703703703704,39.8148148148148,0.308641975308642,3.7037037037037,0.308641975308642,42.5925925925926,51.5432098765432,48.1481481481482,64.8148148148148,6.17283950617284,31.4814814814815,23.1481481481481,7.09876543209877,0.617283950617284,,2.16049382716049,0.925925925925926,16.0493827160494,0.925925925925926,100,94.7530864197531,70.679012345679,0.308641975308642,4.62962962962963,66.358024691358,3.7037037037037,1.23456790123457,9.87654320987654,2.16049382716049,28.0864197530864,95.9876543209877,,,,
Pass,79.6296296296296,60.1851851851852,99.6913580246914,96.2962962962963,99.6913580246914,57.4074074074074,47.5308641975309,12.037037037037,34.2592592592593,1.23456790123457,68.5185185185185,76.8518518518519,79.0123456790123,58.0246913580247,,97.8395061728395,18.2098765432099,5.24691358024691,10.4938271604938,,0.617283950617284,27.7777777777778,,65.1234567901235,12.3456790123457,96.2962962962963,98.7654320987654,90.1234567901235,97.8395061728395,8.33333333333333,4.01234567901235,,,,
Excluded,,,,,,,0.925925925925926,,,,,,13.8888888888889,11.1111111111111,,,2.16049382716049,,9.87654320987654,,4.62962962962963,1.54320987654321,99.6913580246914,,,,,,,63.5802469135803,,,,,
Green,,,,,,,,,,,,,,,4.93827160493827,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,157.055555555556,306.972222222222,2.37962962962963,28.5555555555555,2.37962962962963,328.388888888889,397.398148148148,371.222222222222,499.722222222222,47.5925925925926,242.722222222222,178.472222222222,54.7314814814815,4.75925925925926,0,16.6574074074074,7.13888888888889,123.740740740741,7.13888888888889,771,730.546296296296,544.935185185185,2.37962962962963,35.6944444444444,511.62037037037,28.5555555555555,9.51851851851852,76.1481481481482,16.6574074074074,216.546296296296,740.064814814815,,6460.69444444444,,0.328136330674402
Pass,613.944444444445,464.027777777778,768.62037037037,742.444444444444,768.62037037037,442.611111111111,366.462962962963,92.8055555555556,264.138888888889,9.51851851851852,528.277777777778,592.527777777778,609.185185185185,447.37037037037,0,754.342592592593,140.398148148148,40.4537037037037,80.9074074074074,0,4.75925925925926,214.166666666667,0,502.101851851852,95.1851851851852,742.444444444444,761.481481481481,694.851851851852,754.342592592593,64.25,30.9351851851852,,11591.1759259259,,0.588711626782693
Excluded,0,0,0,0,0,0,7.13888888888889,0,0,0,0,0,107.083333333333,85.6666666666667,0,0,16.6574074074074,0,76.1481481481482,0,35.6944444444444,11.8981481481481,768.62037037037,0,0,0,0,0,0,490.203703703704,0,,1599.11111111111,,0.0812182741116751
Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.0740740740741,,0.00193376843123036
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19689.0555555556,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,
