,QualityMeasure1,QualityMeasure10,QualityMeasure11,QualityMeasure12,QualityMeasure13,QualityMeasure14,QualityMeasure15,QualityMeasure15_color,QualityMeasure16,QualityMeasure17A,QualityMeasure17B,QualityMeasure18,QualityMeasure19,QualityMeasure2,QualityMeasure24,QualityMeasure3,QualityMeasure4,QualityMeasure5,QualityMeasure6,QualityMeasure7,QualityMeasure8,QualityMeasure9
Fail,10.833333333333334,,,,0.8333333333333334,,7.5,,99.16666666666667,,,57.49999999999999,51.66666666666667,,16.666666666666664,,,43.333333333333336,96.66666666666667,,2.5,
Pass,89.16666666666667,,,,99.16666666666667,,82.5,,0.8333333333333334,,,42.5,46.666666666666664,,8.333333333333332,,,56.666666666666664,3.3333333333333335,100.0,97.5,
Excluded,,100.0,100.0,100.0,,100.0,10.0,10.0,,100.0,100.0,,,100.0,75.0,100.0,100.0,,,,,100.0
Green,,,,,,,,80.0,,,,,,,,,,,,,,
Red,,,,,,,,7.5,,,,,,,,,,,,,,
Yellow,,,,,,,,2.5,,,,,,,,,,,,,,
